Identificateur Acheteur	Bien	Proposition Valeur	Résultat
2021-05-18 23:40:13	1	150	7	Succes
2021-05-18 23:43:25	1	150	20	echec
2021-05-18 23:43:35	1	150	25	Succes
2021-05-18 23:47:27	1	150	37	echec
2021-05-18 23:47:34	1	150	41	Succes
2021-05-18 23:51:09	1	150	48	echec
2021-05-18 23:51:14	1	150	54	echec
2021-05-18 23:51:18	1	150	62	echec
2021-05-18 23:51:25	1	150	66	Succes
2021-05-18 23:54:12	1	150	73	echec
2021-05-18 23:54:16	1	150	78	Succes
2021-05-18 23:57:17	1	150	81	Succes
2021-05-19 00:00:16	1	150	86	echec
2021-05-19 00:00:20	1	150	89	Succes
2021-05-19 00:01:50	1	150	94	Succes
2021-05-19 00:04:15	1	150	101	echec
2021-05-19 00:04:21	1	150	108	echec
2021-05-19 00:04:26	1	150	114	echec
2021-05-19 00:04:40	1	150	115	Succes
2021-05-19 00:05:42	1	150	124	echec
2021-05-19 00:06:05	1	150	143	Succes
2021-05-19 00:09:10	1	150	151	echec
2021-05-19 00:09:32	1	150	156	echec
2021-05-19 00:09:36	1	150	161	echec
2021-05-19 00:09:55	1	150	163	echec
2021-05-19 00:10:08	1	150	164	echec
2021-05-19 00:10:16	1	150	166	echec
2021-05-19 00:10:29	1	150	168	echec
2021-05-19 00:10:32	1	150	173	echec
2021-05-19 00:10:35	1	150	176	Succes
2021-05-19 00:13:05	1	150	179.0	Succes
2021-05-19 00:21:42	1	150	190	echec
2021-05-19 00:24:10	1	150	196	echec
2021-05-19 00:24:15	1	150	204	echec
2021-05-19 00:27:25	1	150	4545	echec
2021-05-19 00:30:04	1	150	4557	echec
2021-05-19 00:30:09	1	150	4568	Succes
2021-05-19 00:32:30	1	150	55	echec
2021-05-19 00:32:54	1	150	60	echec
2021-05-19 00:33:13	1	150	63	echec
2021-05-19 00:33:17	1	150	68	echec
2021-05-19 00:33:20	1	150	73	echec
2021-05-19 00:33:37	1	150	75	Succes
2021-05-19 00:45:25	1	150	80	echec
2021-05-19 00:49:37	1	150	84	echec
2021-05-19 00:49:39	1	150	88	echec
2021-05-19 00:49:43	1	150	93	echec
2021-05-19 00:49:48	1	150	96	echec
2021-05-19 00:49:52	1	150	96	echec
2021-05-19 00:49:55	1	150	100	echec
2021-05-19 00:49:57	1	150	100	echec
2021-05-19 00:50:01	1	150	104	echec
2021-05-19 00:50:03	1	150	107	echec
2021-05-19 00:50:28	1	150	110	echec
2021-05-19 00:50:45	1	150	115	echec
2021-05-19 00:51:03	1	150	115	echec
2021-05-19 00:51:12	1	150	121	echec
2021-05-19 00:51:25	1	150	121	echec
2021-05-19 00:57:23	1	150	127	echec
2021-05-19 00:57:25	1	150	130	echec
2021-05-19 00:57:27	1	150	134	echec
2021-05-19 00:57:28	1	150	138.0	Succes
2021-05-19 11:27:47	1	150	143	Succes
